group	x	y
1	-23.66	9.35
1	-22.94	8.75
1	-22.49	9.04
1	-23.17	8.68
1	-24.04	9.61
1	-23.76	9.16
1	-23.19	8.86
1	-24.15	9.33
1	-24.18	7.87
1	-23.55	8.26
1	-22.88	8.91
1	-23.26	9.02
1	-23.74	9.20
1	-23.92	9.02
1	-23.93	9.89
1	-23.83	10.29
1	-23.69	10.33
1	-24.10	9.91
1	-23.50	8.94
2	-23.80	9.78
2	-23.03	9.08
2	-23.33	8.47
2	-23.52	8.80
2	-23.85	9.64
2	-23.73	8.91
2	-23.50	8.59
2	-24.07	9.10
2	-23.63	9.61
2	-23.91	9.36
2	-23.39	9.85
2	-23.40	8.73
2	-24.19	10.58
2	-23.60	10.01
